description,main_group,anomaly_type,anomaly_decision_score,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,calcium,vitamin_c
Walnut oil,"Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
Wheat germ oil,Grains & Bakery,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
"Bacon, for use with vegetables",Meat & Poultry,Extreme Macro Imbalance,-0.00037927390818293105,458.29,33.92,1.7,35.09,0.0,0.0,1684,11,0.0
"Bacon, for use on a sandwich",Meat & Poultry,Extreme Macro Imbalance,-0.00037927390818293105,458.29,33.92,1.7,35.09,0.0,0.0,1684,11,0.0
"Sugar, NFS",Fast Food & Prepared,Extreme Macro Imbalance,-0.01537878872422005,401.28,0.0,99.6,0.32,0.0,99.8,1,1,0.0
"Sugar, white, granulated or lump",Other,Extreme Macro Imbalance,-0.01537878872422005,401.28,0.0,99.6,0.32,0.0,99.8,1,1,0.0
"Sugar, white, confectioner's, powdered",Other,Extreme Macro Imbalance,-0.016189178110369573,399.08,0.0,99.77,0.0,0.0,97.81,2,1,0.0
"Sugar, brown",Other,Extreme Macro Imbalance,-0.011104896407930442,392.84,0.12,98.09,0.0,0.0,97.02,28,83,0.0
"Sugar, cinnamon",Condiments & Sauces,Extreme Macro Imbalance,-0.007800919399759909,397.62,0.28,98.27,0.38,3.7,92.99,2,71,0.3
Sugar substitute and sugar blend,Other,Extreme Macro Imbalance,-0.01537878872422005,400.19,0.0,99.35,0.31,0.0,99.22,1,1,0.0
