description,food_cluster,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Infant formula, NS as to form (Similac for Spit-Up)",0,64.4,1.38,6.9,3.48,0.0,6.9,23
"Infant formula, ready-to-feed (Similac for Spit-Up)",0,64.4,1.38,6.9,3.48,0.0,6.9,23
"Infant formula, powder, made with water, NFS (Similac for Spit-Up)",0,64.4,1.38,6.9,3.48,0.0,6.9,23
"Infant formula, NS as to form (Similac Expert Care NeoSure)",0,72.5,2.01,7.22,3.95,0.0,7.26,27
"Infant formula, ready-to-feed (Similac Expert Care NeoSure)",0,72.5,2.01,7.22,3.95,0.0,7.26,27
"Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)",0,72.5,2.01,7.22,3.95,0.0,7.26,27
"Infant formula, powder, made with tap water (Similac Expert Care NeoSure)",0,72.5,2.01,7.22,3.95,0.0,7.26,27
"Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)",0,72.5,2.01,7.22,3.95,0.0,7.26,25
"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",0,72.5,2.01,7.22,3.95,0.0,7.26,24
"Infant formula, NS as to form (Similac Go and Grow)",0,66.9,1.98,6.73,3.56,0.0,6.73,23
"Infant formula, powder, made with water, NFS (Similac Go and Grow)",0,66.9,1.98,6.73,3.56,0.0,6.73,23
"Infant formula, NS as to form (Enfamil Newborn)",0,66.4,1.38,7.39,3.48,0.0,7.39,18
"Infant formula, ready-to-feed (Enfamil Newborn)",0,66.4,1.38,7.39,3.48,0.0,7.39,18
"Infant formula, powder, made with water, NFS (Enfamil Newborn)",0,66.4,1.38,7.39,3.48,0.0,7.39,18
"Infant formula, powder, made with tap water (Enfamil Newborn)",0,66.4,1.38,7.39,3.48,0.0,7.39,18
"Infant formula, powder, made with plain bottled water (Enfamil Newborn)",0,66.4,1.38,7.39,3.48,0.0,7.39,18
"Infant formula, powder, made with baby water (Enfamil Newborn)",0,66.4,1.38,7.39,3.48,0.0,7.39,18
"Infant formula, NS as to form (Enfamil Infant)",0,66.5,1.4,7.38,3.49,0.0,7.38,21
"Infant formula, ready-to-feed (Enfamil Infant)",0,66.5,1.4,7.38,3.49,0.0,7.38,21
"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",0,66.5,1.4,7.38,3.49,0.0,7.38,21
"Infant formula, liquid concentrate, made with tap water (Enfamil Infant)",0,66.5,1.4,7.38,3.49,0.0,7.38,21
"Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)",0,66.5,1.4,7.38,3.49,0.0,7.38,20
"Infant formula, liquid concentrate, made with baby water (Enfamil Infant)",0,66.5,1.4,7.38,3.49,0.0,7.38,18
"Infant formula, powder, made with water, NFS (Enfamil Infant)",0,66.5,1.4,7.38,3.49,0.0,7.38,21
"Infant formula, powder, made with tap water (Enfamil Infant)",0,66.5,1.4,7.38,3.49,0.0,7.38,21
"Infant formula, powder, made with plain bottled water (Enfamil Infant)",0,66.5,1.4,7.38,3.49,0.0,7.38,20
"Infant formula, powder, made with baby water (Enfamil Infant)",0,66.5,1.4,7.38,3.49,0.0,7.38,18
"Infant formula, NS as to form (Enfamil A.R.)",0,65.3,1.6,7.43,3.24,0.0,7.25,29
"Infant formula, ready-to-feed (Enfamil A.R.)",0,65.3,1.6,7.43,3.24,0.0,7.25,29
"Infant formula, powder, made with water, NFS (Enfamil A.R.)",0,65.3,1.6,7.43,3.24,0.0,7.25,29
"Infant formula, powder, made with tap water (Enfamil A.R.)",0,65.3,1.6,7.43,3.24,0.0,7.25,29
"Infant formula, NS as to form (Enfamil EnfaCare)",0,71.8,2.0,7.4,3.8,0.0,7.4,25
"Infant formula, ready-to-feed (Enfamil EnfaCare)",0,71.8,2.0,7.4,3.8,0.0,7.4,25
"Infant formula, powder, made with water, NFS (Enfamil EnfaCare)",0,71.8,2.0,7.4,3.8,0.0,7.4,25
"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",0,65.3,1.6,7.43,3.24,0.0,7.25,28
"Infant formula, powder, made with baby water (Enfamil A.R.)",0,65.3,1.6,7.43,3.24,0.0,7.25,26
"Infant formula, NS as to form (Enfamil Gentlease)",0,66.5,1.53,7.25,3.49,0.0,7.25,27
"Infant formula, ready-to-feed (Enfamil Gentlease)",0,66.5,1.53,7.25,3.49,0.0,7.25,27
"Infant formula, powder, made with water, NFS (Enfamil Gentlease)",0,66.5,1.53,7.25,3.49,0.0,7.25,27
"Infant formula, powder, made with tap water (Enfamil EnfaCare)",0,71.8,2.0,7.4,3.8,0.0,7.4,25
"Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)",0,71.8,2.0,7.4,3.8,0.0,7.4,25
"Infant formula, powder, made with baby water (Enfamil EnfaCare)",0,71.8,2.0,7.4,3.8,0.0,7.4,25
"Infant formula, powder, made with tap water (Enfamil Gentlease)",0,66.5,1.53,7.25,3.49,0.0,7.25,27
"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",0,66.5,1.53,7.25,3.49,0.0,7.25,26
"Infant formula, powder, made with baby water (Enfamil Gentlease)",0,66.5,1.53,7.25,3.49,0.0,7.25,24
"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)",0,68.4,1.72,7.4,3.55,0.0,7.0,31
