description,food_cluster,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Salad dressing, NFS, for salads",3,429.7,1.32,5.9,44.54,0.0,4.69,901
"Salad dressing, NFS, for sandwiches",3,595.0,0.9,3.41,64.2,0.0,2.46,639
Blue or roquefort cheese dressing,3,484.5,1.37,4.77,51.1,0.4,3.48,642
Bacon and tomato dressing,5,330.2,1.8,2.0,35.0,0.2,2.0,905
Caesar dressing,3,542.5,2.17,3.3,57.85,0.5,2.81,1209
Coleslaw dressing,5,403.8,0.85,22.4,34.53,0.0,21.23,850
French or Catalina dressing,5,430.3,0.87,18.79,39.07,2.4,17.43,661
Honey mustard dressing,3,464.3,0.87,23.33,40.83,0.4,15.84,512
"Italian dressing, made with vinegar and oil",5,240.2,0.41,12.12,21.12,0.0,10.77,993
"Mayonnaise, regular",3,679.8,0.96,0.57,74.85,0.0,0.57,635
Vegan mayonnaise,5,238.0,0.3,16.0,19.2,0.0,6.0,497
Russian dressing,5,366.0,0.69,31.9,26.18,0.7,17.68,1133
Mayonnaise-type salad dressing,5,256.1,0.65,14.78,21.6,0.0,10.02,653
Avocado dressing,3,427.0,1.9,7.36,43.33,0.1,6.67,867
Creamy dressing,3,429.7,1.32,5.9,44.54,0.0,4.69,901
Poppy seed dressing,5,398.6,0.92,23.73,33.33,0.3,23.39,933
Sesame dressing,3,453.6,3.1,8.6,45.2,1.0,8.32,1000
Thousand Island dressing,5,378.5,1.09,14.64,35.06,0.8,15.18,962
Yogurt dressing,0,225.4,3.45,11.8,18.27,0.1,9.67,43
"Salad dressing, light, NFS",5,160.0,1.5,7.0,14.0,0.0,5.65,833
"Blue or roquefort cheese dressing, light",0,96.8,5.1,2.9,7.2,0.0,2.82,939
"Coleslaw dressing, light",1,340.0,0.0,40.0,20.0,0.4,38.73,1600
"French or Catalina dressing, light",5,230.9,0.58,31.22,11.52,1.5,16.86,838
"Caesar dressing, light",5,115.2,0.3,18.6,4.4,0.1,16.32,1148
"Mayonnaise, light",5,238.4,0.37,9.23,22.22,0.0,3.56,827
"Mayonnaise, reduced fat,  with olive oil",5,361.5,0.37,0.0,40.0,0.0,0.0,800
"Mayonnaise-type salad dressing, light",5,158.2,0.65,16.4,10.0,0.0,6.67,833
"Honey mustard dressing, light",5,207.0,0.98,28.26,10.0,0.8,18.33,701
"Italian dressing, light",0,101.6,0.39,9.99,6.68,0.0,9.16,891
"Russian dressing, light",5,148.4,0.5,27.6,4.0,0.3,21.87,868
"Sesame dressing, light",0,101.6,0.39,9.99,6.68,0.0,9.16,891
"Thousand Island dressing, light",5,201.4,0.83,24.06,11.32,1.2,17.31,955
Korean dressing or marinade,5,346.0,3.18,12.8,31.34,0.5,10.18,1845
"Creamy dressing, light",5,160.0,1.5,7.0,14.0,0.0,5.65,833
"Blue or roquefort cheese dressing, fat free",0,117.6,1.52,25.6,1.01,1.8,7.44,814
"Caesar dressing, fat free",5,130.9,1.47,30.73,0.23,0.2,8.82,1265
"Creamy dressing, fat free",0,109.9,1.4,20.0,2.7,0.0,5.35,897
"French or Catalina dressing, fat free",5,131.8,0.2,32.14,0.27,2.2,16.45,853
"Honey mustard dressing, fat free",5,171.2,1.07,38.43,1.47,1.2,17.75,1004
"Italian dressing, fat free",0,46.7,0.97,8.75,0.87,0.6,8.85,1129
"Mayonnaise, fat free",0,64.0,0.2,15.8,0.0,2.0,6.8,750
"Russian dressing, fat free",5,132.3,0.55,29.27,1.45,3.3,16.83,788
"Salad dressing, fat free, NFS",0,109.9,1.4,20.0,2.7,0.0,5.35,897
"Thousand Island dressing, fat free",5,132.3,0.55,29.27,1.45,3.3,16.83,788
"Bacon, for use with vegetables",2,458.3,33.92,1.7,35.09,0.0,0.0,1684
"Ham, for use with vegetables",2,117.8,17.99,1.57,4.39,0.0,1.57,1193
"Beef, for use with vegetables",2,191.0,32.41,0.0,6.82,0.0,0.0,67
"Chicken, for use with vegetables",2,164.4,26.79,0.0,6.36,0.0,0.0,345
"Cream sauce, for use with vegetables",5,174.9,1.16,10.22,14.38,0.1,1.16,938
"Cheese sauce, for use with vegetables",0,118.4,4.69,9.62,6.8,0.1,0.07,908
"Gravy, for use with vegetables",0,55.6,0.31,11.24,1.05,0.1,0.12,932
"Soy based sauce, for use with vegetables",0,88.2,1.65,20.07,0.15,0.2,10.06,1101
"Tomato sauce, for use with vegetables",0,105.6,0.48,12.08,6.15,0.6,11.4,965
"Avocado, for use on a sandwich",0,174.1,2.0,8.53,14.66,6.7,0.66,7
"Cucumber, for use on a sandwich",0,18.1,0.65,3.63,0.11,0.5,1.67,2
"Lettuce, for use on a sandwich",0,17.5,1.13,2.92,0.14,1.2,1.38,19
"Mushrooms, for use on a sandwich",0,28.5,3.09,3.26,0.34,1.0,1.98,5
"Onions, for use on a sandwich",0,42.7,1.1,9.34,0.1,1.7,4.24,4
"Pepper, for use on a sandwich",0,26.1,0.91,5.13,0.22,1.8,3.03,3
"Spinach, for use on a sandwich",0,29.5,2.86,3.63,0.39,2.2,0.42,79
"Tomatoes, for use on a sandwich",0,20.9,0.88,3.89,0.2,1.2,2.63,5
"Bacon, for use on a sandwich",2,458.3,33.92,1.7,35.09,0.0,0.0,1684
"Sugar, NFS",1,401.3,0.0,99.6,0.32,0.0,99.8,1
"Sugar, white, granulated or lump",1,401.3,0.0,99.6,0.32,0.0,99.8,1
"Sugar, white, confectioner's, powdered",1,399.1,0.0,99.77,0.0,0.0,97.81,2
"Sugar, brown",1,392.8,0.12,98.09,0.0,0.0,97.02,28
"Sugar, cinnamon",1,397.6,0.28,98.27,0.38,3.7,92.99,2
Sugar substitute and sugar blend,1,400.2,0.0,99.35,0.31,0.0,99.22,1
"Sugar substitute, sucralose, powder",1,364.7,0.0,91.17,0.0,0.0,80.33,0
"Sugar substitute, stevia, powder",5,400.0,0.0,100.0,0.0,0.0,0.0,0
"Sugar substitute, stevia, liquid",0,51.2,0.8,11.99,0.0,0.7,0.01,210
"Sugar substitute, monk fruit, powder",5,400.0,0.0,100.0,0.0,0.0,0.0,0
"Sugar substitute, powder, NFS",1,363.2,0.66,90.14,0.0,0.0,82.09,150
"Sugar substitute, liquid, NFS",0,51.2,0.8,11.99,0.0,0.7,0.01,210
"Sugar substitute, saccharin, powder",1,360.2,0.94,89.11,0.0,0.0,85.19,428
"Sugar substitute, saccharin, liquid",0,8.3,0.02,2.05,0.0,0.0,1.96,13
"Sugar substitute, aspartame, powder",1,365.0,2.17,89.08,0.0,0.0,80.7,0
"Syrup, NFS",1,279.3,0.0,69.6,0.1,0.0,42.0,61
Pancake syrup,1,279.3,0.0,69.6,0.1,0.0,42.0,61
Corn syrup,1,309.0,0.0,76.79,0.2,0.0,76.77,62
Blueberry syrup,1,340.5,0.0,85.13,0.0,0.1,53.0,0
Chocolate syrup,1,268.8,0.0,67.21,0.0,0.0,60.0,150
"Chocolate syrup, light",0,152.6,1.4,34.56,0.97,0.0,28.57,100
Simple syrup,1,183.7,0.0,45.58,0.15,0.0,45.68,3
Strawberry drink syrup,1,260.6,0.0,65.1,0.02,0.0,65.0,0
"Pancake syrup, light",1,178.2,0.0,44.55,0.0,0.0,32.8,178
Honey,1,330.8,0.3,82.4,0.0,0.2,82.12,4
Agave liquid sweetener,1,309.9,0.09,76.37,0.45,0.2,68.03,4
Molasses,1,299.8,0.0,74.73,0.1,0.0,74.72,37
"Topping, butterscotch or caramel",1,232.9,1.21,57.01,0.0,0.0,57.0,341
"Topping, chocolate",1,350.1,4.6,62.9,8.9,2.8,34.82,346
"Topping, fruit",1,266.9,0.2,66.3,0.1,0.7,27.38,21
"Topping, marshmallow",1,321.9,0.8,79.0,0.3,0.1,46.8,80
"Topping, nuts and syrup",1,448.3,4.5,58.08,22.0,2.3,36.72,42
"Topping, chocolate flavored hazelnut spread",1,538.6,5.41,62.36,29.73,5.4,54.05,41
"Icing, chocolate",1,415.6,1.1,63.2,17.6,0.9,57.7,183
"Icing, white",1,417.6,0.0,67.89,16.23,0.0,63.1,184
"Caramel dip, regular",1,308.0,1.16,48.47,12.17,0.0,48.46,386
"Caramel dip, light",1,232.9,1.21,57.01,0.0,0.0,57.0,341
Chocolate dip,1,392.7,3.33,65.31,13.13,2.0,45.46,299
Dessert dip,5,255.1,6.16,22.88,15.44,0.0,22.18,148
Sweet and sour sauce,0,154.1,0.27,38.22,0.02,0.1,18.75,539
Dessert sauce,0,149.0,0.09,19.53,7.84,0.0,17.1,103
Duck sauce,1,245.2,0.36,60.66,0.13,0.6,30.54,712
"Jelly, all flavors",1,280.6,0.15,69.95,0.02,1.0,51.22,30
"Jam, preserve, all flavors",1,277.6,0.37,68.86,0.07,1.1,48.5,32
"Fruit butter, all flavors",1,174.1,0.39,42.47,0.3,1.5,35.3,15
"Marmalade, all flavors",1,266.4,0.3,66.3,0.0,0.7,60.0,56
"Jelly, sugar free, all flavors",0,120.6,0.55,29.6,0.0,2.2,3.39,3
"Jelly, reduced sugar, all flavors",0,151.3,0.0,37.6,0.1,1.5,29.41,0
"Jam, preserve, marmalade, sugar free, all flavors",0,120.6,0.55,29.6,0.0,2.2,3.39,3
"Jam, preserve, marmalade, sweetened with fruit juice concentrates, all flavors",1,211.7,0.0,52.93,0.0,0.9,42.0,0
"Jam, preserve, marmalade, reduced sugar, all flavors",0,151.3,0.0,37.6,0.1,1.5,29.41,0
Guava paste,1,293.1,0.1,72.56,0.27,1.1,71.62,2
Sweet potato paste,1,304.2,0.41,75.04,0.27,0.8,71.58,9
"Bean paste, sweetened",1,229.0,6.22,49.98,0.47,5.3,33.92,124
Gelatin dessert,0,61.6,1.22,14.19,0.0,0.0,13.49,75
Gelatin dessert with fruit,0,57.8,1.1,13.34,0.01,0.2,12.59,64
Gelatin salad with vegetables,0,62.1,1.47,14.02,0.02,0.7,11.93,69
"Gelatin dessert, sugar free",0,20.2,0.83,4.22,0.0,0.0,0.0,48
"Gelatin dessert, sugar free, with fruit",0,22.6,0.77,4.86,0.01,0.2,1.13,41
Yokan,0,135.5,2.86,30.47,0.24,2.0,24.59,119
"Coconut cream cake, Puerto Rican style",1,331.8,2.41,47.27,14.79,1.2,45.97,13
Haupia,5,286.0,1.98,23.52,20.45,2.0,14.72,83
Italian Ice,0,132.0,0.4,32.6,0.0,0.0,32.6,22
"Italian Ice, no sugar added",0,23.7,0.0,5.92,0.0,0.0,1.52,10
"Popsicle, NFS",0,79.1,0.0,19.23,0.24,0.0,13.66,7
Popsicle,0,79.1,0.0,19.23,0.24,0.0,13.66,7
"Popsicle, no sugar added",0,23.7,0.0,5.92,0.0,0.0,1.52,10
Freezer pop,0,79.1,0.0,19.23,0.24,0.0,13.66,7
Snow cone,0,132.0,0.4,32.6,0.0,0.0,32.6,22
"Snow cone, no sugar added",0,23.7,0.0,5.92,0.0,0.0,1.52,10
"Candy, NFS",1,393.8,0.0,98.0,0.2,0.0,62.9,38
M&M's Almond Chocolate Candies,1,522.0,7.53,60.5,27.76,5.6,49.22,45
"Almonds, chocolate covered",3,594.7,17.1,32.9,43.85,9.8,18.5,24
"Almonds, sugar-coated",1,474.4,10.0,68.26,17.93,2.5,62.5,13
"Almonds, yogurt-covered",1,566.3,12.75,44.86,37.32,5.6,36.26,49
Butterscotch morsels,1,538.6,2.2,67.1,29.05,0.0,67.1,89
"Caramel, chocolate-flavored roll",1,387.1,1.59,87.73,3.31,0.1,56.32,44
"Caramel, flavor other than chocolate",1,399.3,4.6,77.0,8.1,0.0,65.5,245
"Caramel, with nuts",1,432.7,5.77,70.03,14.39,0.7,58.57,218
"Caramel candy, chocolate covered",1,430.5,5.3,72.95,13.06,0.8,62.28,207
"Caramel with nuts and cereal, chocolate covered",1,498.6,6.66,61.51,25.1,2.4,42.95,165
"Caramel with nuts, chocolate covered",1,469.7,9.5,60.67,21.0,4.3,41.35,156
Rolo,1,480.5,5.08,67.95,20.93,0.9,63.93,188
"Caramel, all flavors, sugar free",1,426.2,1.95,72.93,14.08,0.5,18.63,176
"Toblerone, milk chocolate with honey and almond nougat",1,524.8,5.71,61.21,28.57,2.5,55.74,54
TWIX Caramel Cookie Bars,1,502.5,4.91,64.8,24.85,1.1,48.25,198
TWIX Chocolate Fudge Cookie Bars,1,552.9,7.3,56.0,33.3,3.0,53.0,266
TWIX Peanut Butter Cookie Bars,1,547.3,9.18,54.14,32.67,3.1,36.13,226
Whatchamacallit,1,498.2,8.04,63.23,23.68,1.9,48.86,299
"Nuts, carob-coated",3,577.7,15.81,37.56,40.47,7.2,19.32,58
"Espresso coffee beans, chocolate-covered",1,549.3,7.41,55.25,33.18,5.7,50.75,70
"Milk chocolate candy, plain",1,535.1,7.65,59.4,29.66,3.4,51.5,79
"Milk chocolate candy, with cereal",1,533.6,7.64,59.67,29.37,3.3,51.06,86
Kit Kat,1,518.3,6.51,64.59,25.99,1.0,48.68,54
"Chocolate, milk, with nuts, not almond or peanuts",1,560.1,8.64,52.5,35.06,4.1,43.03,66
"Milk chocolate candy, with fruit and nuts",1,489.7,7.58,59.98,24.38,4.3,51.48,47
"Milk chocolate candy, with almonds",1,559.2,9.0,53.4,34.4,6.2,43.9,74
"Chocolate, milk, with peanuts",1,557.1,10.22,54.34,33.21,3.8,47.22,41
Chocolate candy with fondant and caramel,1,480.4,5.54,69.3,20.12,2.2,61.69,87
"Chocolate, semi-sweet morsel",1,542.4,4.2,63.9,30.0,5.9,54.5,11
"Chocolate, sweet or dark",1,557.5,4.5,60.18,33.2,6.4,48.81,20
"Chocolate, sweet or dark, with almonds",1,556.4,6.55,56.48,33.81,7.7,42.34,21
"Chocolate, white",1,549.2,5.87,59.24,32.09,0.2,59.0,90
"Chocolate, white, with almonds",1,559.9,8.16,53.59,34.77,2.0,50.8,77
"Chocolate, white, with cereal",1,533.6,7.64,59.67,29.37,3.3,51.06,86
Kit Kat White,1,518.3,6.51,64.59,25.99,1.0,48.68,54
"Mexican chocolate, tablet",1,464.5,3.64,77.41,15.59,4.0,69.4,3
"Coconut candy, chocolate covered",1,493.3,4.6,58.88,26.6,3.7,46.19,145
"Coconut candy, no chocolate covering",1,480.8,2.13,55.87,27.65,6.4,36.16,128
"Coconut candy, Puerto Rican style",1,427.5,1.31,74.38,13.86,1.3,73.27,9
Fondant,1,372.9,0.0,93.18,0.02,0.0,88.9,11
"Fondant, chocolate covered",1,414.1,2.2,80.4,9.3,2.1,71.42,26
"Fruit peel, candied",1,333.0,0.34,82.74,0.07,1.6,80.68,98
Date candy,1,411.7,4.23,58.1,18.04,7.1,46.5,22
Soft fruit confections,1,390.2,2.31,73.81,9.52,2.4,45.95,131
Fruit leather and fruit snacks candy,1,365.0,0.55,84.31,2.84,0.0,53.37,258
Fun Fruits Creme Supremes,1,481.4,3.68,69.33,21.04,0.1,55.26,176
Tamarind candy,1,367.8,0.0,91.96,0.0,2.5,78.57,1643
"Fruit snacks candy, with high vitamin C",1,352.2,0.08,87.97,0.0,0.0,68.18,23
"Yogurt covered fruit snacks candy, with added vitamin C",1,415.1,0.0,86.9,7.5,0.2,65.0,75
"Yogurt covered fruit snacks candy rolls, with high vitamin C",1,359.2,0.46,74.64,6.53,3.3,39.15,8
"Gumdrops, chocolate covered",1,434.6,2.14,87.84,8.3,1.0,56.88,54
"Fudge, chocolate, chocolate-coated",1,447.5,3.97,71.51,16.18,2.2,66.63,55
"Fudge, chocolate, chocolate-coated, with nuts",1,482.9,5.36,65.53,22.15,2.8,59.81,51
"Fudge, chocolate",1,410.0,2.39,76.7,10.41,1.7,73.12,45
"Fudge, chocolate, with nuts",1,460.5,4.38,68.15,18.93,2.5,63.37,39
"Fudge, peanut butter",1,445.7,6.37,67.3,16.78,1.2,62.58,142
"Fudge, peanut butter, with nuts",1,484.6,7.84,61.63,22.97,1.9,55.99,138
"Fudge, vanilla",1,381.8,1.05,82.15,5.45,0.0,79.77,47
"Fudge, vanilla, with nuts",1,433.6,3.0,74.61,13.69,0.9,71.0,42
"Fudge, divinity",1,420.8,4.26,82.92,8.01,0.9,81.93,64
"Fudge, brown sugar, penuche",1,411.5,2.1,77.74,10.24,1.1,75.85,319
"Fudge, caramel and nut, chocolate-coated candy",1,499.8,7.7,65.5,23.0,1.9,46.2,193
SNICKERS Bar,1,490.8,7.53,61.51,23.85,2.3,50.47,239
Baby Ruth,1,475.2,5.4,64.8,21.6,2.0,54.0,230
100 GRAND Bar,1,467.8,2.5,70.97,19.33,1.0,51.9,203
"Halvah, plain",1,549.7,7.98,57.36,32.04,4.5,53.08,19
"Halvah, chocolate covered",1,545.7,7.88,57.93,31.38,4.2,52.64,36
Honey-combed hard candy with peanut butter,1,486.1,8.72,67.41,20.18,1.9,62.68,174
"Honey-combed hard candy with peanut butter, chocolate covered",1,501.7,8.78,62.68,23.98,3.1,47.19,225
Butterfinger,1,483.3,5.4,72.9,18.9,2.0,45.9,230
Butterfinger Crisp,1,465.4,6.67,68.45,18.33,1.7,48.33,13
Chocolate-flavored sprinkles,1,547.5,2.16,66.53,30.3,4.1,60.47,4
"Ladoo, round ball, Asian-Indian dessert",1,412.5,6.92,46.74,21.98,4.0,29.68,169
Licorice,1,374.6,0.0,93.55,0.05,0.2,70.0,50
Marshmallow,1,334.2,1.8,81.3,0.2,0.1,57.56,80
"Marshmallow, chocolate covered",1,403.4,2.43,75.03,10.4,1.7,55.74,61
"Marshmallow, candy-coated",1,358.2,1.16,87.85,0.24,0.1,72.68,52
"Nougat, plain",1,397.9,3.33,92.39,1.67,3.3,44.97,33
"Nougat, with caramel, chocolate covered",1,455.8,4.01,71.17,17.23,1.0,59.69,167
MILKY WAY Bar,1,455.8,4.01,71.17,17.23,1.0,59.69,167
MILKY WAY MIDNIGHT Bar,1,455.2,3.2,71.22,17.5,2.9,57.81,168
MARS Almond Bar,1,490.2,8.1,62.7,23.0,2.0,52.1,170
"Nougat, chocolate covered",1,436.4,4.54,83.15,9.51,3.3,46.8,46
3 MUSKETEERS Bar,1,436.2,2.6,77.77,12.75,1.5,66.89,194
3 Musketeers Truffle Crisp Bar,1,537.9,6.41,63.15,28.85,0.0,57.69,63
"Nuts, chocolate covered, not almonds or peanuts",3,588.2,11.39,42.05,41.6,4.9,28.09,44
"Nut roll, fudge or nougat, caramel and nuts",1,490.3,13.44,52.88,25.0,3.8,40.32,231
"Sugared pecans, sugar and egg white coating",3,595.8,7.29,31.77,48.84,6.5,25.12,17
"Peanuts, chocolate covered",1,552.7,13.1,49.7,33.5,4.7,37.59,41
M&M's Peanut Chocolate Candies,1,515.4,9.57,60.48,26.13,3.7,50.75,50
M&M's Peanut Butter Chocolate Candies,1,532.1,10.16,56.89,29.32,4.0,47.15,213
"Peanuts, sugar-coated",1,554.9,15.5,47.4,33.7,4.1,42.22,156
"Peanuts, yogurt covered",1,562.2,14.84,42.43,37.01,3.8,36.42,56
Peanut bar,1,554.9,15.5,47.4,33.7,4.1,42.22,156
Planters Peanut Bar,1,543.0,16.26,50.68,30.58,5.5,44.34,186
Peanut brittle,1,486.1,7.57,71.24,18.98,2.5,51.33,445
"Peanut Bar, chocolate covered candy",1,548.8,13.07,51.12,32.45,3.9,45.1,132
"Peanut butter, chocolate covered",1,531.4,10.55,58.48,28.36,2.9,51.64,178
Reese's Peanut Butter Cup,1,537.2,10.24,55.36,30.53,3.6,47.17,357
Reese's Pieces,1,512.2,12.46,59.86,24.77,3.0,53.25,194
Reese's Sticks,1,541.7,9.53,55.38,31.34,3.3,40.33,264
Reese's Fast Break,1,500.2,8.93,63.9,23.21,3.6,53.57,321
Reese's Crispy Crunchy Bar,1,542.3,9.53,55.53,31.34,3.3,40.33,264
Peanut butter morsels,1,528.9,18.3,46.88,29.8,5.0,38.3,250
Pralines,1,411.5,2.1,77.74,10.24,1.1,75.85,319
"Pineapple candy, Puerto Rican style",1,345.4,0.65,84.86,0.37,1.2,83.75,2
"Raisins, chocolate covered",1,423.2,4.1,68.4,14.8,3.1,62.22,36
"Raisins, yogurt covered",1,412.3,4.38,72.86,11.48,2.6,64.0,52
"Sesame Crunch, Sahadi",1,547.3,11.6,50.3,33.3,7.7,31.17,167
Gumdrops,1,395.6,0.0,98.9,0.0,0.1,58.97,44
Hard candy,1,393.8,0.0,98.0,0.2,0.0,62.9,38
Butterscotch hard candy,1,391.4,0.03,90.4,3.3,0.0,80.46,391
Skittles,1,403.2,0.19,90.78,4.37,0.0,75.84,15
Sugar-coated chocolate discs,1,492.2,4.33,71.19,21.13,2.8,63.68,61
M&M's Milk Chocolate Candies,1,492.2,4.33,71.19,21.13,2.8,63.68,61
Sixlets,1,492.2,4.33,71.19,21.13,2.8,63.68,61
"Easter egg, candy coated chocolate",1,492.2,4.33,71.19,21.13,2.8,63.68,61
M&M's Pretzel Chocolate Candies,1,446.8,5.0,72.94,15.0,2.5,50.0,475
Taffy,1,404.1,0.81,82.15,8.03,0.0,55.59,75
"Toffee, plain",1,405.3,4.67,78.17,8.22,0.0,66.5,249
"Toffee, chocolate covered",1,540.8,3.13,63.73,30.37,1.3,59.89,317
"Toffee, chocolate-coated, with nuts",1,461.8,7.62,66.83,18.22,1.8,56.2,179
Truffles,1,512.9,6.78,49.64,31.91,2.8,43.11,86
"Wax candy, liquid filled",0,130.5,0.0,32.4,0.1,0.0,32.47,2
"Dietetic or low calorie candy, NFS",5,394.4,0.0,98.6,0.0,0.0,0.0,0
Dietetic or low calorie gumdrops,1,354.2,0.0,88.1,0.2,0.0,70.0,7
Dietetic or low calorie hard candy,5,394.4,0.0,98.6,0.0,0.0,0.0,0
"Dietetic or low calorie candy, chocolate covered",3,589.7,12.39,37.68,43.27,3.5,14.63,111
Dietetic or low calorie mints,5,394.4,0.0,98.6,0.0,0.0,0.0,0
"Chewing gum, NFS",1,384.8,0.0,95.37,0.37,2.4,19.82,5
"Chewing gum, regular",1,389.5,0.0,96.7,0.3,2.4,66.08,1
"Chewing gum, sugar free",5,382.8,0.0,94.8,0.4,2.4,0.0,7
"Coffee, NS as to type",0,0.7,0.12,0.0,0.02,0.0,0.0,2
"Coffee, NS as to brewed or instant",0,0.7,0.12,0.0,0.02,0.0,0.0,2
"Coffee, brewed",0,0.7,0.12,0.0,0.02,0.0,0.0,2
"Coffee, brewed, blend of regular and decaffeinated",0,0.5,0.11,0.0,0.01,0.0,0.0,2
"Coffee, Turkish",0,26.7,0.11,6.47,0.04,0.0,6.48,2
"Coffee, espresso",0,8.8,0.12,1.67,0.18,0.0,0.0,14
"Coffee, espresso, decaffeinated",0,8.8,0.1,1.69,0.18,0.0,0.0,14
"Coffee, brewed, flavored",0,0.7,0.12,0.0,0.02,0.0,0.0,2
"Coffee, Cuban",0,33.5,0.11,7.84,0.19,0.0,6.28,13
"Coffee, macchiato",0,22.6,1.18,2.72,0.78,0.0,1.61,22
"Coffee, macchiato, sweetened",0,39.0,1.13,6.9,0.76,0.0,5.85,21
"Coffee, cafe con leche",0,38.8,1.67,5.64,1.06,0.0,4.84,26
"Coffee, cafe con leche, decaffeinated",0,39.4,1.69,5.72,1.08,0.0,4.92,26
"Coffee, Latte",0,43.1,2.8,4.36,1.61,0.0,4.06,35
"Coffee, Latte, nonfat",0,29.8,2.87,4.35,0.1,0.0,4.2,36
"Coffee, Latte, with non-dairy milk",0,32.3,1.26,4.51,1.03,0.2,3.5,51
"Coffee, Latte, flavored",0,55.0,2.71,7.5,1.57,0.0,7.22,34
"Coffee, Latte, nonfat, flavored",0,41.9,2.78,7.48,0.1,0.0,7.35,35
"Coffee, Latte, with non-dairy milk, flavored",0,44.5,1.22,7.63,1.01,0.2,6.66,49
"Coffee, Latte, decaffeinated",0,43.4,2.82,4.38,1.62,0.0,4.09,35
"Coffee, Latte, decaffeinated, nonfat",0,29.9,2.88,4.36,0.1,0.0,4.22,37
"Coffee, Latte, decaffeinated, with non-dairy milk",0,32.4,1.26,4.53,1.03,0.2,3.52,51
"Coffee, Latte, decaffeinated, flavored",0,55.1,2.72,7.53,1.57,0.0,7.26,34
"Coffee, Latte, decaffeinated, nonfat, flavored",0,42.1,2.79,7.52,0.1,0.0,7.38,35
"Coffee, Latte, decaffeinated, with non-dairy milk, flavored",0,44.6,1.22,7.66,1.01,0.2,6.7,49
Frozen coffee drink,0,68.2,1.55,13.41,0.93,0.0,13.16,21
"Frozen coffee drink, nonfat",0,60.9,1.59,13.4,0.1,0.0,13.23,22
"Frozen coffee drink, with non-dairy milk",0,62.2,0.7,13.46,0.62,0.1,12.83,30
"Frozen coffee drink, with whipped cream",0,83.1,1.62,12.85,2.8,0.0,12.62,21
"Frozen coffee drink, nonfat, with whipped cream",0,76.1,1.66,12.84,2.01,0.0,12.69,22
"Frozen coffee drink, with non-dairy milk and whipped cream",0,77.3,0.82,12.9,2.49,0.1,12.3,30
"Frozen coffee drink, decaffeinated",0,68.6,1.56,13.47,0.94,0.0,13.23,21
"Frozen coffee drink, decaffeinated, nonfat",0,61.1,1.59,13.46,0.1,0.0,13.3,22
"Frozen coffee drink, decaffeinated, with non-dairy milk",0,65.4,1.21,13.47,0.74,0.1,12.66,25
"Frozen coffee drink, decaffeinated, with whipped cream",0,83.4,1.62,12.9,2.81,0.0,12.68,21
"Frozen coffee drink, decaffeinated, nonfat, with whipped cream",0,76.4,1.66,12.89,2.02,0.0,12.75,22
"Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream",0,77.6,0.82,12.96,2.5,0.1,12.36,30
"Coffee, Cafe Mocha",0,64.4,2.56,10.23,1.47,0.0,9.3,46
"Coffee, Cafe Mocha, nonfat",0,51.9,2.6,10.17,0.09,0.0,9.37,47
"Coffee, Cafe Mocha, with non-dairy milk",0,54.2,1.14,10.3,0.94,0.1,8.73,60
"Coffee, Cafe Mocha, decaffeinated",0,64.4,2.55,10.23,1.47,0.0,9.3,46
"Coffee, Cafe Mocha, decaffeinated, nonfat",0,52.1,2.61,10.22,0.09,0.0,9.42,47
"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk",0,54.5,1.15,10.35,0.94,0.1,8.77,60
Frozen mocha coffee drink,0,66.2,1.5,13.07,0.88,0.0,12.17,34
"Frozen mocha coffee drink, nonfat",0,59.2,1.54,13.07,0.08,0.0,12.24,35
"Frozen mocha coffee drink, with non-dairy milk",0,60.5,0.68,13.13,0.58,0.1,11.85,42
"Frozen mocha coffee drink, with whipped cream",0,80.8,1.57,12.55,2.7,0.0,11.69,34
"Frozen mocha coffee drink, nonfat, with whipped cream",0,74.0,1.61,12.54,1.93,0.0,11.76,34
"Frozen mocha coffee drink, with non-dairy milk and whipped cream",0,75.2,0.79,12.6,2.4,0.1,11.39,42
"Frozen mocha coffee drink, decaffeinated",0,66.6,1.51,13.13,0.89,0.0,12.23,34
"Frozen mocha coffee drink, decaffeinated, nonfat",0,59.4,1.54,13.12,0.08,0.0,12.3,35
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk",0,60.7,0.68,13.19,0.58,0.1,11.9,43
"Frozen mocha coffee drink, decaffeinated, with whipped cream",0,81.1,1.58,12.6,2.71,0.0,11.74,34
"Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream",0,74.3,1.61,12.59,1.94,0.0,11.81,34
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream",0,75.5,0.79,12.66,2.41,0.1,11.44,42
"Iced Coffee, brewed",0,0.5,0.09,0.0,0.02,0.0,0.0,2
"Iced Coffee, brewed, decaffeinated",0,0.3,0.08,0.0,0.0,0.0,0.0,2
"Iced Coffee, pre-lightened and pre-sweetened",0,30.8,0.25,4.94,1.12,0.0,4.95,6
"Coffee, Iced Latte",0,27.3,1.74,2.82,1.01,0.0,2.51,23
"Coffee, Iced Latte, nonfat",0,19.0,1.78,2.8,0.07,0.0,2.6,24
"Coffee, Iced Latte, with non-dairy milk",0,20.7,0.79,2.91,0.65,0.1,2.17,33
